date,heure_utc,c_window,dans_fenetre,regime,outcome,pnl,rr
2022-02-25,00:00,,non,R2,W,-222.85,-0.223
2022-04-22,00:00,,non,R2,W,1151.20,1.151
2022-04-25,00:00,,non,R2,L,-1000.00,-1.000
2022-05-04,00:00,,non,R2,L,1000.00,-1.000
2022-05-06,00:00,,non,R2,W,642.35,0.642
2022-05-09,00:00,,non,R2,W,531.84,0.532
2022-05-10,00:00,,non,R2,W,2200.00,2.200
2022-05-19,00:00,,non,R2,L,-1000.00,-1.000
2022-05-20,00:00,,non,R2,L,-1000.00,-1.000
2022-05-25,00:00,,non,R2,L,-1000.00,-1.000
2022-05-27,00:00,,non,R2,L,-1000.00,-1.000
2022-05-31,00:00,,non,R2,L,-1000.00,-1.000
2022-06-01,00:00,,non,R2,L,-1000.00,-1.000
2022-06-07,00:00,,non,R2,L,-1000.00,-1.000
2022-06-17,00:00,,non,R2,W,777.26,0.777
2022-06-21,00:00,,non,R2,W,507.95,0.508
2022-06-22,00:00,,non,R2,W,1304.02,1.304
2022-06-24,00:00,,non,R2,W,2845.58,2.846
2022-06-27,00:00,,non,R2,W,2644.28,2.644
2022-08-02,00:00,,non,R2,L,-1000.00,-1.000
2022-08-04,00:00,,non,R2,L,-1000.00,-1.000
2022-08-05,00:00,,non,R2,W,2133.69,2.134
2022-08-09,00:00,,non,R2,L,-1000.00,-1.000
2022-08-10,00:00,,non,R2,L,-1000.00,-1.000
2022-10-11,00:00,,non,R2,W,883.04,0.883
2022-10-12,00:00,,non,R2,W,2936.56,2.937
2022-11-01,00:00,,non,R2,L,-1000.00,-1.000
2022-11-07,00:00,,non,R2,W,154.94,0.155
2022-11-25,00:00,,non,R2,W,6655.57,6.656
2022-11-28,00:00,,non,R2,W,2024.83,2.025
2022-12-05,00:00,,non,R2,W,525.50,0.526
2022-12-14,00:00,,non,R2,L,-1000.00,-1.000
2022-12-27,00:00,,non,R2,W,5149.22,5.149
2023-01-03,00:00,,non,R2,W,1236.89,1.237
2023-01-04,00:00,,non,R2,L,-1000.00,-1.000
2023-01-05,00:00,,non,R2,W,1445.31,1.445
2023-01-06,00:00,,non,R2,W,1558.95,1.559
2023-02-06,00:00,,non,R2,L,-1000.00,-1.000
2023-02-07,00:00,,non,R2,W,1131.26,1.131
2023-02-08,00:00,,non,R2,L,-1000.00,-1.000
2023-02-09,00:00,,non,R2,W,1271.57,1.272
2023-04-19,00:00,,non,R2,L,-500.38,-0.500
2023-04-20,00:00,,non,R2,L,-1000.00,-1.000
2023-04-21,00:00,,non,R2,L,-1000.00,-1.000
2023-04-24,00:00,,non,R2,L,-462.31,-0.462
2023-04-26,00:00,,non,R2,W,1337.33,1.337
2023-05-03,00:00,,non,R2,W,551.02,0.551
2023-05-11,00:00,,non,R2,W,1893.96,1.894
